Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",197.790000,-81.815000,0.000000,bottom
"C1","0.1uF","C_0805_2012Metric",254.125375,-79.488625,-90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",271.340000,-95.900000,90.000000,bottom
"C3","22pF","C_0805_2012Metric",272.590000,-89.430000,0.000000,bottom
"C4","22pF","C_0805_2012Metric",272.200000,-81.470000,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",267.210000,-95.900000,90.000000,bottom
"C6","1uF","C_0805_2012Metric",261.630000,-77.100000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",269.270000,-95.900000,90.000000,bottom
"C9","0.1uF","C_0805_2012Metric",167.310000,-81.720000,0.000000,bottom
"C10","0.1uF","C_0805_2012Metric",178.130000,-81.650000,180.000000,bottom
"C11","0.1uF","C_0805_2012Metric",188.610000,-85.255000,-90.000000,bottom
"C12","0.1uF","C_0805_2012Metric",156.025000,-81.920000,0.000000,bottom
"C13","0.1uF","C_0805_2012Metric",122.895000,-81.600000,0.000000,bottom
"C14","0.1uF","C_0805_2012Metric",110.595000,-81.640000,180.000000,bottom
"C15","0.1uF","C_0805_2012Metric",99.675000,-81.340000,180.000000,bottom
"D2","D_Small","D_SOD-123",17.910000,-4.710000,90.000000,bottom
"D3","D_Small","D_SOD-123",22.998500,-29.753500,90.000000,bottom
"D4","D_Small","D_SOD-123",25.379750,-48.803500,90.000000,bottom
"D5","D_Small","D_SOD-123",30.142250,-67.853500,90.000000,bottom
"D7","D_Small","D_SOD-123",49.192250,-86.903500,90.000000,bottom
"D8","D_Small","D_SOD-123",61.098500,-67.853500,90.000000,bottom
"D9","D_Small","D_SOD-123",51.573500,-48.803500,90.000000,bottom
"D10","D_Small","D_SOD-123",46.811000,-29.753500,90.000000,bottom
"D11","D_Small","D_SOD-123",37.286000,-10.703500,90.000000,bottom
"D12","D_Small","D_SOD-123",27.790000,-79.790000,90.000000,bottom
"D13","D_Small","D_SOD-123",56.336000,-10.703500,90.000000,bottom
"D14","D_Small","D_SOD-123",65.861000,-29.753500,90.000000,bottom
"D15","D_Small","D_SOD-123",70.623500,-48.803500,90.000000,bottom
"D16","D_Small","D_SOD-123",80.148500,-67.853500,90.000000,bottom
"D17","D_Small","D_SOD-123",70.490000,-82.410000,90.000000,bottom
"D18","D_Small","D_SOD-123",99.198500,-67.853500,90.000000,bottom
"D19","D_Small","D_SOD-123",89.673500,-48.803500,90.000000,bottom
"D20","D_Small","D_SOD-123",84.911000,-31.403500,90.000000,bottom
"D21","D_Small","D_SOD-123",75.386000,-10.703500,90.000000,bottom
"D24","D_Small","D_SOD-123",94.436000,-10.703500,90.000000,bottom
"D25","D_Small","D_SOD-123",103.961000,-29.753500,90.000000,bottom
"D26","D_Small","D_SOD-123",108.723500,-48.803500,90.000000,bottom
"D27","D_Small","D_SOD-123",118.248500,-67.853500,90.000000,bottom
"D28","D_Small","D_SOD-123",146.900000,-79.870000,90.000000,bottom
"D29","D_Small","D_SOD-123",137.298500,-67.853500,90.000000,bottom
"D30","D_Small","D_SOD-123",127.773500,-48.803500,90.000000,bottom
"D31","D_Small","D_SOD-123",123.011000,-29.753500,90.000000,bottom
"D32","D_Small","D_SOD-123",113.486000,-10.703500,90.000000,bottom
"D35","D_Small","D_SOD-123",132.536000,-10.703500,90.000000,bottom
"D36","D_Small","D_SOD-123",142.061000,-29.753500,90.000000,bottom
"D37","D_Small","D_SOD-123",146.823500,-48.803500,90.000000,bottom
"D38","D_Small","D_SOD-123",156.348500,-67.853500,90.000000,bottom
"D39","D_Small","D_SOD-123",174.110000,-67.380000,90.000000,bottom
"D40","D_Small","D_SOD-123",165.873500,-48.803500,90.000000,bottom
"D41","D_Small","D_SOD-123",161.111000,-29.753500,90.000000,bottom
"D42","D_Small","D_SOD-123",151.586000,-10.703500,90.000000,bottom
"D46","D_Small","D_SOD-123",170.636000,-10.703500,90.000000,bottom
"D47","D_Small","D_SOD-123",180.161000,-29.753500,90.000000,bottom
"D48","D_Small","D_SOD-123",184.923500,-48.803500,90.000000,bottom
"D49","D_Small","D_SOD-123",194.448500,-67.853500,90.000000,bottom
"D50","D_Small","D_SOD-123",223.020000,-81.990000,90.000000,bottom
"D51","D_Small","D_SOD-123",213.498500,-67.853500,90.000000,bottom
"D52","D_Small","D_SOD-123",203.973500,-48.803500,90.000000,bottom
"D53","D_Small","D_SOD-123",199.211000,-29.753500,90.000000,bottom
"D54","D_Small","D_SOD-123",189.686000,-10.703500,90.000000,bottom
"D57","D_Small","D_SOD-123",208.736000,-10.703500,90.000000,bottom
"D58","D_Small","D_SOD-123",218.261000,-29.753500,90.000000,bottom
"D59","D_Small","D_SOD-123",223.023500,-48.803500,90.000000,bottom
"D60","D_Small","D_SOD-123",232.548500,-67.853500,90.000000,bottom
"D61","D_Small","D_SOD-123",246.850000,-87.320000,90.000000,bottom
"D62","D_Small","D_SOD-123",256.560000,-65.270000,90.000000,bottom
"D63","D_Small","D_SOD-123",242.073500,-48.803500,90.000000,bottom
"D64","D_Small","D_SOD-123",237.311000,-29.753500,90.000000,bottom
"D65","D_Small","D_SOD-123",227.786000,-10.703500,90.000000,bottom
"D68","D_Small","D_SOD-123",246.836000,-10.703500,90.000000,bottom
"D69","D_Small","D_SOD-123",256.361000,-29.753500,90.000000,bottom
"D70","D_Small","D_SOD-123",263.590000,-6.590000,90.000000,bottom
"D71","D_Small","D_SOD-123",273.029750,-48.803500,90.000000,bottom
"D72","D_Small","D_SOD-123",280.370000,-72.900000,90.000000,bottom
"D76","D_Small","D_SOD-123",281.150000,-23.570000,90.000000,bottom
"D77","D_Small","D_SOD-123",281.140000,-17.010000,90.000000,bottom
"J1","Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",277.130000,-42.585000,0.000000,bottom
"R1","330","R_0805_2012Metric",252.957500,-86.530000,0.000000,bottom
"R2","22","R_0805_2012Metric",275.630000,-52.982500,90.000000,bottom
"R3","10k","R_0805_2012Metric",276.770000,-83.020000,180.000000,bottom
"R4","10k","R_0805_2012Metric",253.720000,-93.330000,-90.000000,bottom
"R5","22","R_0805_2012Metric",277.580000,-52.982500,90.000000,bottom
"R6","22","R_0805_2012Metric",190.930000,-85.217500,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",279.480000,-95.890000,180.000000,bottom
"U1","ATmega32U4-MU","atmega32u4-mu-and-au",262.342625,-86.772625,-90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",271.867625,-86.285125,90.000000,bottom
